Number,Area,Date,Average,Highest,Lowest,Precipitation,Humidity
135,추풍령,2018-07-10,22.40 ,27.2,18.4,,88
135,추풍령,2018-07-11,25.80 ,31,21.4,4.9,84
135,추풍령,2018-07-12,26.90 ,32.1,22.2,,77
135,추풍령,2018-07-13,27.90 ,32.9,24.1,,71
135,추풍령,2018-07-14,27.40 ,32.5,23.2,,72
135,추풍령,2018-07-15,27.80 ,33.7,22.8,,69
135,추풍령,2018-07-16,28.80 ,33.6,23.5,,67
138,포항,2018-07-09,18.90 ,19.4,18.2,4.5,97
138,포항,2018-07-10,22.30 ,29,18.6,0,94
138,포항,2018-07-11,23.20 ,25.5,21.5,0,93
138,포항,2018-07-12,29.70 ,35.2,22.6,,72
138,포항,2018-07-13,30.70 ,35.1,27.2,,70
138,포항,2018-07-14,31.70 ,36.3,27.3,,67
138,포항,2018-07-15,31.50 ,37.1,27.3,,69
138,포항,2018-07-16,32.40 ,37.2,27.6,,65
140,군산,2018-07-09,21.80 ,24.1,20,2,91
140,군산,2018-07-10,27.40 ,31.9,22.1,,79
140,군산,2018-07-11,27.70 ,32.8,23.6,,82
140,군산,2018-07-12,27.00 ,30.9,24,,85
140,군산,2018-07-13,26.80 ,30.3,23.9,,85
140,군산,2018-07-14,26.60 ,31.4,23.8,,86
140,군산,2018-07-15,26.90 ,32.9,23.2,,84
140,군산,2018-07-16,26.80 ,31.1,22.5,,81
143,대구,2018-07-09,19.20 ,20.7,17.9,2.5,88
143,대구,2018-07-10,24.60 ,30.9,18.6,,76
143,대구,2018-07-11,28.20 ,32.9,23,,70
143,대구,2018-07-12,29.60 ,34.4,24.8,,66
143,대구,2018-07-13,30.60 ,35.1,26.6,,61
143,대구,2018-07-14,30.70 ,36.4,26,,58
143,대구,2018-07-15,31.30 ,36.5,26.5,,56
143,대구,2018-07-16,31.30 ,37.2,25.9,,56
146,전주,2018-07-09,22.80 ,24.8,20.7,12.6,95
146,전주,2018-07-10,27.50 ,31.5,23.5,,85
146,전주,2018-07-11,28.80 ,32.8,25.6,,83
146,전주,2018-07-12,28.20 ,33,24.7,,88
146,전주,2018-07-13,28.10 ,32.9,25.4,,88
146,전주,2018-07-14,28.30 ,33,24.7,,87
146,전주,2018-07-15,28.90 ,33.9,24.4,,81
146,전주,2018-07-16,28.20 ,33.3,23,,81
152,울산,2018-07-09,19.10 ,20.8,17.5,2.4,98
152,울산,2018-07-10,23.30 ,28.4,18.7,,91
152,울산,2018-07-11,26.30 ,31.8,22.2,,85
152,울산,2018-07-12,28.70 ,33.7,23.9,,78
152,울산,2018-07-13,28.40 ,32.8,25.3,,81
152,울산,2018-07-14,28.80 ,33.1,24.9,,81
152,울산,2018-07-15,28.90 ,33.3,24.9,,81
152,울산,2018-07-16,30.20 ,36.1,25.7,,72
156,광주,2018-07-09,23.60 ,26.4,21.8,,91
156,광주,2018-07-10,27.10 ,31,23.5,,83
156,광주,2018-07-11,27.80 ,31.5,24.6,,82
156,광주,2018-07-12,29.10 ,34.3,25.1,,80
156,광주,2018-07-13,28.60 ,34.5,25.2,,84
156,광주,2018-07-14,28.80 ,34.9,24.2,,82
156,광주,2018-07-15,29.50 ,36.1,24.7,,77
156,광주,2018-07-16,29.10 ,35,24.5,,79
159,부산,2018-07-09,20.00 ,22.3,18.4,4,93
159,부산,2018-07-10,24.00 ,28.7,19.5,,86
159,부산,2018-07-11,26.60 ,30.3,22.6,,79
159,부산,2018-07-12,27.40 ,30.3,25.1,,78
159,부산,2018-07-13,27.00 ,29.9,24.8,,83
159,부산,2018-07-14,27.60 ,31,24.8,,80
159,부산,2018-07-15,27.20 ,30.6,23.6,,80
159,부산,2018-07-16,27.10 ,30.8,23.4,,75
162,통영,2018-07-09,20.40 ,22.4,19,9.9,97
162,통영,2018-07-10,24.60 ,30.6,20.1,,87
162,통영,2018-07-11,26.80 ,31.3,22.9,,81
162,통영,2018-07-12,26.40 ,30.7,23,,85
162,통영,2018-07-13,26.60 ,30.8,23.7,,86
162,통영,2018-07-14,25.80 ,30.7,23.5,,88
162,통영,2018-07-15,25.80 ,29.9,23.6,,88
162,통영,2018-07-16,26.40 ,32.3,23.2,,82
165,목포,2018-07-09,24.20 ,27.6,21.9,0,83
165,목포,2018-07-10,27.00 ,30.5,23.8,,76
165,목포,2018-07-11,28.30 ,31.3,25.9,,75
165,목포,2018-07-12,28.00 ,31.8,24.8,,79
165,목포,2018-07-13,27.40 ,30.3,25.2,,81
165,목포,2018-07-14,27.00 ,30.3,24.3,,83
165,목포,2018-07-15,27.60 ,31.8,24.1,,79
165,목포,2018-07-16,27.40 ,31.7,24.1,,80
168,여수,2018-07-09,20.20 ,21.3,19.2,17.1,99
168,여수,2018-07-10,23.60 ,27.1,21,,91
168,여수,2018-07-11,26.70 ,30,23.7,,81
168,여수,2018-07-12,26.70 ,30,24.7,,87
168,여수,2018-07-13,27.20 ,30.4,25.1,,85
168,여수,2018-07-14,27.20 ,30.2,25.1,,84
168,여수,2018-07-15,27.60 ,31,24.9,,82
168,여수,2018-07-16,27.60 ,30.9,24.8,,80
170,완도,2018-07-09,21.90 ,24,20.5,2.4,93
170,완도,2018-07-10,24.40 ,28.4,21.5,,86
170,완도,2018-07-11,26.00 ,29.1,23.5,,85
170,완도,2018-07-12,26.70 ,30.3,23.9,,88
170,완도,2018-07-13,27.40 ,31.7,23.8,,81
170,완도,2018-07-14,27.10 ,32.2,23.5,,81
170,완도,2018-07-15,27.50 ,32.2,23.1,,76
170,완도,2018-07-16,27.20 ,31.6,23.4,,78
184,제주,2018-07-09,24.60 ,28.5,21.1,0.1,90
184,제주,2018-07-10,28.30 ,33.1,24.7,,75
184,제주,2018-07-11,30.00 ,35,27.4,,70
184,제주,2018-07-12,28.00 ,30.4,26,,82
184,제주,2018-07-13,26.70 ,29.2,25.2,,88
184,제주,2018-07-14,26.90 ,29.5,24.8,,81
184,제주,2018-07-15,27.00 ,29.8,24.4,,83
184,제주,2018-07-16,27.00 ,29.5,24.5,,84
188,성산,2018-07-09,23.80 ,27.8,21,0.1,93
188,성산,2018-07-10,24.00 ,26.1,22.8,,91
188,성산,2018-07-11,25.70 ,28.6,23,,89
188,성산,2018-07-12,26.10 ,29,24.6,,90
188,성산,2018-07-13,26.00 ,28.8,23,,86
188,성산,2018-07-14,25.50 ,29.8,21.5,,85
188,성산,2018-07-15,25.50 ,29.1,21.9,,84
188,성산,2018-07-16,26.00 ,30.3,22.4,,84
189,서귀포,2018-07-09,24.60 ,27.2,21.1,0.9,99
189,서귀포,2018-07-10,27.10 ,29.9,24.3,,94
189,서귀포,2018-07-11,26.80 ,28.6,26,,99
189,서귀포,2018-07-12,26.50 ,28.3,25.2,,99
189,서귀포,2018-07-13,26.50 ,28.8,24.9,,98
189,서귀포,2018-07-14,26.30 ,29,23.4,,98
189,서귀포,2018-07-15,26.10 ,28.5,24.8,,98
189,서귀포,2018-07-16,26.80 ,30,24.5,,94
192,진주,2018-07-09,19.30 ,20.2,18.1,23.4,89
192,진주,2018-07-10,24.00 ,28.8,19.9,,82
192,진주,2018-07-11,26.60 ,31.3,21.8,,76
192,진주,2018-07-12,27.00 ,31.9,22.3,,76
192,진주,2018-07-13,27.50 ,34,23.2,,75
192,진주,2018-07-14,28.20 ,34.1,23.2,,72
192,진주,2018-07-15,28.10 ,34.5,22.7,,70
192,진주,2018-07-16,27.90 ,33.6,22.6,,70
201,강화,2018-07-09,19.70 ,21.3,18.8,44.5,85
201,강화,2018-07-10,23.60 ,26.7,19.9,6.5,87
201,강화,2018-07-11,25.60 ,28.2,24.2,4.5,83
201,강화,2018-07-12,24.60 ,26.6,23.1,0.5,89
201,강화,2018-07-13,24.80 ,28.6,22.3,0.5,85
201,강화,2018-07-14,25.60 ,29.2,22.1,0.2,83
201,강화,2018-07-15,25.30 ,29.8,21.4,,82
201,강화,2018-07-16,24.80 ,30,20.6,,80
202,양평,2018-07-09,20.30 ,22.4,18.9,14.5,87
202,양평,2018-07-10,23.50 ,26.5,19.9,9,89
202,양평,2018-07-11,25.80 ,29.6,23.3,8.5,91
202,양평,2018-07-12,27.00 ,31.4,23.8,,82
202,양평,2018-07-13,27.20 ,32.3,22.7,,78
202,양평,2018-07-14,27.70 ,32.8,23.1,,72
202,양평,2018-07-15,28.20 ,34,22.6,,70
202,양평,2018-07-16,28.10 ,34.7,23.3,,69
203,이천,2018-07-09,19.50 ,21.6,18,15.7,91
203,이천,2018-07-10,23.60 ,28.2,19.3,9.4,90
203,이천,2018-07-11,25.90 ,31.3,23,2,90
203,이천,2018-07-12,26.60 ,31,23.7,,83
203,이천,2018-07-13,26.90 ,31.8,23.1,,79
203,이천,2018-07-14,27.40 ,31.7,23,,74
203,이천,2018-07-15,27.70 ,34.1,22.2,,73
203,이천,2018-07-16,27.90 ,34.8,22.6,,70
211,인제,2018-07-09,16.80 ,18.9,15.3,13,87
211,인제,2018-07-10,19.20 ,24.2,15.9,18.5,91
211,인제,2018-07-11,21.00 ,24.5,18,30,96
211,인제,2018-07-12,25.50 ,29.5,21.5,,78
211,인제,2018-07-13,25.20 ,29.8,21.3,,76
211,인제,2018-07-14,25.70 ,31.2,21.3,,74
211,인제,2018-07-15,25.60 ,31.4,20.3,,74
211,인제,2018-07-16,25.70 ,32.1,20.3,,73
212,홍천,2018-07-09,19.00 ,20.5,17.9,12,85
212,홍천,2018-07-10,22.60 ,27.7,17.8,16.5,88
212,홍천,2018-07-11,25.70 ,30,22.6,7.5,88
212,홍천,2018-07-12,26.90 ,31.9,23.4,,81
212,홍천,2018-07-13,26.50 ,32.3,22.3,,80
212,홍천,2018-07-14,27.60 ,33,22.5,,75
212,홍천,2018-07-15,27.40 ,33.9,22.3,,75
212,홍천,2018-07-16,27.80 ,34.2,22.3,,74
221,제천,2018-07-09,18.80 ,19.3,18.2,32.5,84
221,제천,2018-07-10,23.40 ,28.3,18.6,1,83
221,제천,2018-07-11,25.40 ,31.4,22.5,2.5,85
221,제천,2018-07-12,26.50 ,31.5,22.8,0,80
221,제천,2018-07-13,26.60 ,32.2,22.4,,74
221,제천,2018-07-14,26.70 ,32.1,22.2,,74
221,제천,2018-07-15,26.60 ,33.2,21.2,,74
221,제천,2018-07-16,26.60 ,34.1,20.6,,72
226,보은,2018-07-09,19.40 ,20.1,18.1,31,87
226,보은,2018-07-10,24.10 ,29.4,19.6,,83
226,보은,2018-07-11,26.50 ,32.4,22.1,,84
226,보은,2018-07-12,27.40 ,33.1,23.2,,79
226,보은,2018-07-13,27.50 ,33,23.4,,76
226,보은,2018-07-14,27.60 ,33.7,23,,75
226,보은,2018-07-15,27.80 ,34.2,22.5,,74
226,보은,2018-07-16,27.90 ,34.4,21.7,,75
232,천안,2018-07-09,19.80 ,21.8,18.4,17.9,82
232,천안,2018-07-10,24.00 ,28.9,19.7,0.1,79
232,천안,2018-07-11,26.70 ,31.5,23.4,0.8,77
232,천안,2018-07-12,26.70 ,30.9,23.7,,77
232,천안,2018-07-13,26.90 ,31.2,23.8,,74
232,천안,2018-07-14,26.80 ,32.2,22.8,,73
232,천안,2018-07-15,27.40 ,33.3,21.7,,67
232,천안,2018-07-16,27.00 ,33.4,21.2,,65
235,보령,2018-07-09,22.50 ,24.7,20.3,18.1,97
235,보령,2018-07-10,26.80 ,30.9,24.2,,92
235,보령,2018-07-11,27.80 ,31.2,25,,91
235,보령,2018-07-12,26.50 ,29.6,23.5,,95
235,보령,2018-07-13,26.50 ,29.8,24.2,,94
235,보령,2018-07-14,26.10 ,29.4,23.7,,96
235,보령,2018-07-15,25.90 ,31,23,,94
235,보령,2018-07-16,25.80 ,30.7,21.6,,89
236,부여,2018-07-09,20.20 ,21.8,18.9,13.5,96
236,부여,2018-07-10,25.90 ,31.7,19.6,0,81
